epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,41.7155,0.32608,0.43486,0.821,0,0,0,0,0,564,0,0.00072775,0.00072775,0.00072775
57,42.4336,0.30995,0.43546,0.8177,0,0,0,0,0,591.5,0,0.0007228,0.0007228,0.0007228
58,43.1431,0.32248,0.46414,0.83911,0,0,0,0,0,581.5,0,0.00071785,0.00071785,0.00071785
59,43.8487,0.32682,0.46012,0.8252,0,0,0,0,0,595.5,0,0.0007129,0.0007129,0.0007129
60,44.5857,0.29803,0.42123,0.82812,0,0,0,0,0,607.5,0,0.00070795,0.00070795,0.00070795
61,45.2924,0.31128,0.43045,0.82292,0,0,0,0,0,556,0,0.000703,0.000703,0.000703
62,46.0085,0.31487,0.43925,0.8321,0,0,0,0,0,512,0,0.00069805,0.00069805,0.00069805
63,46.7141,0.32302,0.43171,0.81738,0,0,0,0,0,510,0,0.0006931,0.0006931,0.0006931
64,47.4128,0.30248,0.42152,0.81483,0,0,0,0,0,541,0,0.00068815,0.00068815,0.00068815
65,48.1131,0.30951,0.43409,0.81464,0,0,0,0,0,550,0,0.0006832,0.0006832,0.0006832
66,48.8103,0.31649,0.41749,0.81824,0,0,0,0,0,563,0,0.00067825,0.00067825,0.00067825
67,49.5142,0.29086,0.42179,0.8209,0,0,0,0,0,581,0,0.0006733,0.0006733,0.0006733
68,50.2193,0.30065,0.40232,0.81821,0,0,0,0,0,589.5,0,0.00066835,0.00066835,0.00066835
69,50.9462,0.29206,0.41159,0.81936,0,0,0,0,0,582,0,0.0006634,0.0006634,0.0006634
70,51.6479,0.27583,0.39649,0.81545,0,0,0,0,0,554,0,0.00065845,0.00065845,0.00065845
71,52.3513,0.29195,0.40769,0.82306,0,0,0,0,0,520.5,0,0.0006535,0.0006535,0.0006535
72,53.0528,0.31094,0.40346,0.81978,0,0,0,0,0,527,0,0.00064855,0.00064855,0.00064855
73,53.7462,0.2757,0.38528,0.82046,0,0,0,0,0,557.5,0,0.0006436,0.0006436,0.0006436
74,54.4647,0.28969,0.40704,0.81189,0,0,0,0,0,598,0,0.00063865,0.00063865,0.00063865
75,55.1734,0.27394,0.37643,0.80141,0,0,0,0,0,625,0,0.0006337,0.0006337,0.0006337
76,55.8739,0.28522,0.39735,0.81782,0,0,0,0,0,646,0,0.00062875,0.00062875,0.00062875
77,56.5633,0.28454,0.39455,0.82442,0,0,0,0,0,628,0,0.0006238,0.0006238,0.0006238
78,57.2527,0.28073,0.37668,0.81236,0,0,0,0,0,598,0,0.00061885,0.00061885,0.00061885
79,57.95,0.26835,0.38765,0.81142,0,0,0,0,0,569.5,0,0.0006139,0.0006139,0.0006139
80,58.6408,0.30173,0.39329,0.83263,0,0,0,0,0,545.5,0,0.00060895,0.00060895,0.00060895
81,59.3839,0.28454,0.38825,0.8171,0,0,0,0,0,542.5,0,0.000604,0.000604,0.000604
82,60.16,0.30933,0.40333,0.81988,0,0,0,0,0,574.5,0,0.00059905,0.00059905,0.00059905
83,60.85,0.29526,0.39918,0.81795,0,0,0,0,0,613,0,0.0005941,0.0005941,0.0005941
84,61.5427,0.29035,0.40783,0.81547,0,0,0,0,0,627.5,0,0.00058915,0.00058915,0.00058915
85,62.2299,0.2923,0.37754,0.80971,0,0,0,0,0,624,0,0.0005842,0.0005842,0.0005842
86,62.9319,0.28192,0.39798,0.81769,0,0,0,0,0,599,0,0.00057925,0.00057925,0.00057925
87,63.6357,0.28755,0.39569,0.82025,0,0,0,0,0,565,0,0.0005743,0.0005743,0.0005743
88,64.3682,0.25881,0.36668,0.8096,0,0,0,0,0,541,0,0.00056935,0.00056935,0.00056935
89,65.0811,0.27001,0.37813,0.80768,0,0,0,0,0,545.5,0,0.0005644,0.0005644,0.0005644
90,65.7724,0.28307,0.38305,0.82076,0,0,0,0,0,559,0,0.00055945,0.00055945,0.00055945
91,66.4719,0.27041,0.37381,0.81916,0,0,0,0,0,587.5,0,0.0005545,0.0005545,0.0005545
92,67.1794,0.27417,0.3736,0.80831,0,0,0,0,0,611,0,0.00054955,0.00054955,0.00054955
93,67.8766,0.26494,0.37702,0.81241,0,0,0,0,0,642.5,0,0.0005446,0.0005446,0.0005446
94,68.5753,0.26797,0.36397,0.81121,0,0,0,0,0,674.5,0,0.00053965,0.00053965,0.00053965
95,69.2794,0.26268,0.34987,0.80192,0,0,0,0,0,646.5,0,0.0005347,0.0005347,0.0005347
96,69.9813,0.25716,0.34685,0.80337,0,0,0,0,0,595,0,0.00052975,0.00052975,0.00052975
97,70.704,0.27893,0.36451,0.82235,0,0,0,0,0,556.5,0,0.0005248,0.0005248,0.0005248
98,71.4501,0.25943,0.36071,0.80135,0,0,0,0,0,562.5,0,0.00051985,0.00051985,0.00051985
99,72.2071,0.25749,0.36511,0.80184,0,0,0,0,0,593,0,0.0005149,0.0005149,0.0005149
100,72.9786,0.25847,0.34528,0.80592,0,0,0,0,0,642.5,0,0.00050995,0.00050995,0.00050995
101,73.7128,0.26179,0.35695,0.80998,0,0,0,0,0,686,0,0.000505,0.000505,0.000505
